from,to,relation,show,instagram
olgi,caka,0,0,1
olgi,jost,0,0,1
olgi,rywö,0,0,1
olgi,makl,0,0,1
olgi,sanja,0,0,1
olgi,kenj,0,0,1
olgi,sisa,0,0,1
olgi,xast,0,0,1
olgi,henn,0,0,1
olgi,lefü,0,0,1
olgi,caog,0,0,1
olgi,cast,0,0,1
olgi,joja,0,0,1
olgi,rogr,0,0,1
olgi,jioc,0,0,1
rogr,mikl,0,0,1
rogr,sanja,0,0,1
rogr,kenj,0,0,1
rogr,anro,0,0,1
rogr,becm,0,0,1
rogr,elpi,0,0,1
rogr,henn,0,0,1
rogr,lefü,0,0,1
rogr,joja,0,0,1
rogr,lenn,0,0,1
rogr,olgi,0,0,1
rogr,jioc,0,0,1
rogr,garo,0,0,1
jioc,bekl,0,0,1
jioc,dawe,0,0,1
jioc,hasu,0,0,1
jioc,jost,0,0,1
jioc,pahe,0,0,1
