from,to,vote,relation,show,instagram,love,
tata,kenj,,,,1,,
tata,becm,,,,1,,
tata,elpi,,,,1,,
tata,cast,,,,1,,
tata,olgi,,,,1,,
tata,siho,,,,1,,
tata,yasy,,,,1,,
tata,umte,,,,1,,
tata,jeig,,,,1,,
tata,garo,,,,1,,
tata,tako,,,,1,,
tata,joest,,,,1,,
tata,navo,,,,1,,
sigo,chok,,,,1,,
sigo,stsc,,,,1,,
sigo,saja,,,,1,,
sigo,paro,,,,1,,
stsc,bekl,,,,1,,
stsc,chok,,,,1,,
stsc,stdü,,,,1,,
stsc,tata,,,,1,,
stsc,joho,,,,1,,
stsc,tiho,,,,1,,
stsc,liba,,,,1,,
stsc,rywö,,,,1,,
stsc,edpi,,,,1,,
stsc,mikl,,,,1,,
stsc,paza,,,,1,,
stsc,loma,,,,1,,
stsc,saja,,,,1,,
stsc,elpi,,,,1,,
hara,tata,,,,1,,
hara,pipa,,,,1,,
hara,edpi,,,,1,,
hara,gisi,,,,1,,
pipa,pise,,,,1,,
pipa,tata,,,,1,,
pipa,hara,,,,1,,
pipa,elpi,,,,1,,
pise,anla,,,,1,,
pise,anse,,,,1,,
pise,anre,,,,1,,
pise,caka,,,,1,,
pise,chok,,,,1,,
pise,frfu,,,,1,,
pise,gifa,,,,1,,
pise,hasu,,,,1,,
pise,jost,,,,1,,
pise,lale,,,,1,,
pise,lino,,,,1,,
pise,maan,,,,1,,
pise,shfi,,,,1,,
pise,stdü,,,,1,,
pise,tata,,,,1,,
pise,coci,,,,1,,
pise,frwa,,,,1,,
pise,nire,,,,1,,
pise,emfe,,,,1,,
pise,sabe,,,,1,,
pise,lamo,,,,1,,
pise,inki,,,,1,,
pise,dicv,,,,1,,
pise,umte,,,,1,,
pise,jelo,,,,1,,
tiho,tata,,,,1,,
tiho,stsc,,,,1,,
tiho,joho,,,,1,,
tiho,liba,,,,1,,
tiho,rywö,,,,1,,
tope,caka,,,,1,,
tope,jost,,,,1,,
tope,palj,,,,1,,
tope,mikl,,,,1,,
tope,jede,,,,1,,
tope,makl,,,,1,,
