name,name_real,generation,birthyear,gender,origin,first_show,first_show_year,role,business,insta,business_real
nell,Nelly,gz,2002,1,Deutschland,Beauty_and_the_Nerd,2024,1,2,nelnoire,
vimi,Viki Miller,gz,2002,1,Deutschland,Temptation_Island,2024,1,0,cherrycherryviki,
lefü,Leandro Fünfsinn,gz,2001,2,Deutschland,Love_Island,2023,1,2,leandro_fsn,
caog,Calvin O'Gara,gz,2003,2,Deutschland,Too_hot_too_handle,2025,1,2,calvinogara,
cast,Calvin Steiner,gz,2001,2,Deutschland,Temptation_Island_VIP,2023,1,6,calvinsteinerr,Schauspiel
joja,Jonny Jaspers,gy,1993,2,Deutschland,Köln_50667,2021,1,0,jonnyjaspers,
lenn,Lennert,gz,2000,2,Deutschland ,Too_hot_too_handle,2025,1,3,le99ert,Model
nikö,Nico Köllner,gz,1996,2,Deutschland,Make_Love_Fake_Love,2024,1,0,nico_kllnr,
olgi,Olli Ginkel,gz,1998,2,Deutschland,Herz_an_Bord,2024,1,5,oliver.ginkel,Boxen
rogr,Rober Gruszka,gz,1996,2,Österreich,Match_in_Paradise,2023,1,2,lordprettypanther,
jioc,Jimi Blue Ochsenknecht,gy,1991,2,Deutschland,Diese_Ochsenknechts,2022,1,6,jimbonader,eigene_Show
MF,Media Five,,,,,,,2,,,
MP,Max Plus,,,,,,,2,,,
TMA,The Match Agency,,,,,,,2,,,
CP,Canto Productions,,,,,,,2,,,
MM,Meba Management,,,,,,,2,,,
ISWT,In Social We Trust,,,,,,,2,,,
AYTOVIP,Are You The One? VIP,,2025,,,,,3,,,
fipa,Filip Pavlovic,gy,1994,2,Deutschland,Die_Bachelorette,2018,1,5,filip_pavlovic1,Boxen
stst,Stella Stegmann,gz,1997,1,Deutschland,Too_hot_to_handle,2020,1,6,stella_tiana,Podcast
mace,Marco Cerullo,gy,1988,2,Deutschland,Krass_Schule,2018,1,6,marcocerullo_official,Sänger
liga,Lisa-Marie Gaul,gz,1999,1,Deutschland,Love_Island,2021,1,6,lisa_marie_gaul,Friseur
siho,Sina Hornberger,gz,1997,1,Deutschland,Love_Island,2021,1,2,sinaelisa_,
yasy,Yannick Syperek,gy,1995,2,Deutschland,Die_Bachelorette,2022,1,0,yannis.sy,
dicv,Dijana Cvijetic,gy,1994,1,Schweiz,Miss_Universe_Switzerland,2016,1,3,deeanaofficial,Spiritualität
jogü,Josua Maria Günther,gz,1996,1,Deutschland,Love_Island,2020,1,3,josua_maria,Fitness_Coaching
masp,Maurice Spada,gz,1997,2,Deutschland,Make_Love_Fake_Love,2025,1,1,maurice.spada,Autowerkstatt
brpa,Brenda Patea,gy,1993,1,Deutschland,GNTM,2017,1,2,brendapatea,
umte,Umut Tekin,gz,1997,2,Deutschland,Die_Bachelorette,2022,1,0,umut_tekin41,
jeig,Jennifer Iglesias,gz,1998,1,Deutschland,Love_Island,2022,1,6,jennifer1glesias,Podcast
garo,Gabriela Alves Rodríguez,gz,2000,1,Deutschland,Ex_on_the_Beach,2023,1,2,gabriela.alves.r,
dibr,Dion Brown,gz,1999,2,Deutschland,Are_You_The_One?,2025,1,2,dion_brwn,
tako,Tatum Sara Koch,gz,1998,1,Deutschland,Temptation_Island,2023,1,2,tatumsara,More Nutrition
joest,Joena Steilen,gz,1999,1,Deutschland,Too_hot_to_handle,2025,1,0,joena.st,
josst,Josh Stanley,gz,1996,2,Monaco,Les_Princes_et_Princesses_de_L'amour,2021,1,6,joshstanleymc,Sänger
jelo,Jeje Lopes,gz,1996,1,Deutschland,Krass_Schule,2018,1,2,jejellopes,
navo,Nam Vo,gy,1991,2,Deutschland,Fight_for_Paradise,2024,1,3,nam.vo.official,Fitness_Coaching
RD,r-Dency,,,,,,,2,,,
WAE,We Are Era,,,,,,,2,,,
TSL,The Social Lead,,,,,,,2,,,
TVM,True Vision Management,,,,,,,2,,,
BSM,Blue Sky Management,,,,,,,2,,,
ST,Supreme Talents,,,,,,,2,,,
CP,Creator Place,,,,,,,2,,,
LIVIP,Love Island VIP,,2025,,,,,3,,,
paro,Patrick Romer,gy,1995,2,Deutschland,Bauer_sucht_Frau,2020,,6,patrick_romer_,Landwirt
saya,Samira Yavuz,gy,1993,1,Deutschland,Der_Bachelor,2018,,2,samirayasminleila,
evbe,Eva Benetatou,gy,1992,1,Deutschland,Der_Bachelor,2019,,6,evanthiabenetatou,Sex
giof,Gil Ofarim,gy,1982,2,Deutschland,The_Voice_of_Germany,2012,,6,gilofarim,Sänger
siba,Simone Ballack,gx,1976,1,Deutschland,Lets_Dance,2013,,2,simoneballak,
mimo,Mirja du Mont,gx,1976,1,Deutschland,Playboy,2000,,6,mirja_du_mont,Schauspiel
hakr,Hardy Krüger Jr.,gx,1968,2,Deutschland,Gegen_den_Wind,1994,,6,hardykruegerjr,Schauspiel
hufa,Hubert Fella,gx,1968,2,Deutschland,Ab_ins_Beet!,2012,,1,hubertfella,Sneaker
nibe,Nicole Belstler-Boettcher,bb,1963,1,Deutschland,Marienhof,1995,,6,nicolebelstlerboettcher,Schauspiel
E2R,en2rage,,,,,,,,,,
VM,Via Music,,,,,,,,,,
SR,Siegelring,,,,,,,,,,
LVE,La Vision Entertainment,,,,,,,,,,
HEG,Hall Entertainment Group,,,,,,,,,,
MC,Munich Connexions,,,,,,,,,,
IbeS,Ich bin ein Star - Holt mich hier raus!,,2026,,,,,,,,
